id,a,b,c,d,e,f,g,h,sex,age,region,l,job_title,education,marriage,children,property,r,employment_status,t,u,v,w,x
5694,0.0395777777777777,0.0395777777777777,9.36,178.13,0.1979222222222222,0.1979222222222222,5,0.0,Woman,26.916666666666668,b,17,NE employee,Higher education (one or more),Single/unmarried,1 One,property,No,No couple,Yes,No,No,No,No
43654,0.0950333333333333,0.0356375,14.97,285.03,0.9501,0.3562875,10,0.0,Woman,40.5,f,36,NE employee,Higher education (one or more),Married,1 One,property,No,Works,Yes,Yes,No,No,Yes
2762,0.0466571428571428,0.0311047619047619,105.94,424.06,0.6058,0.4038666666666666,13,0.01,Man,34.333333333333336,g,132,NE employee,Higher education (one or more),Married,1 One,property,No,Works,Yes,Yes,Yes,Yes,No
89215,0.0209130434782608,0.005465909090909,23.9,96.0,0.417391304347826,0.109090909090909,20,0.01,Woman,45.41666666666666,a,24,NE employee,Higher education (one or more),Married,0 Zero,otherwise,No,Works,Yes,Yes,No,No,Yes
24208,0.1597377049180328,0.0792195121951219,125.77,503.23,1.6499344262295084,0.818260162601626,13,1.99,Woman,63.333333333333336,a,96,Pensioner,Secondary education (plus special education),Married,0 Zero,property,No,Pensioner,No,No,No,Yes,No
64486,0.1145,0.092610294117647,157.42,629.78,0.5725272727272727,0.4630735294117646,5,0.0,Man,33.0,a,31,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,Yes,Yes,No
79029,0.223975,0.0639928571428571,112.02,447.98,1.11995,0.3199857142857143,5,0.0,Woman,44.91666666666666,g,72,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,Yes,No,No,Yes
50634,0.16065,0.16065,84.57,1606.43,1.60643,1.60643,10,0.0,Man,37.41666666666666,d,12,Enterpreneur,Secondary education (plus special education),Married,2 Two,property,No,Unemployed,Yes,Yes,No,No,Yes
59694,0.0964333333333333,0.0964333333333333,30.47,578.53,0.9642166666666666,0.9642166666666666,10,0.0,Woman,26.0,e,12,NE employee,Higher education (one or more),Single/unmarried,0 Zero,property,No,No couple,Yes,Yes,No,No,Yes
45658,0.16258,0.1016125,155.96,243.94,0.48788,0.304925,3,0.0,Woman,52.5,c,30,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,Yes,Yes,Yes,Yes
30304,0.0773870967741935,0.0773870967741935,30.01,119.98,0.3870322580645161,0.3870322580645161,5,0.0,Woman,56.66666666666666,a,12,Pensioner,Secondary education (plus special education),Divorced/widow,0 Zero,property,No,No couple,Yes,Yes,Yes,Yes,No
28905,0.33276,0.1109199999999999,207.97,831.93,1.66386,0.55462,5,0.0,Man,52.66666666666666,g,96,Pensioner,Higher education (one or more),Married,0 Zero,property,No,Works,Yes,Yes,Yes,No,No
65183,0.2324181818181818,0.1597875,159.82,639.18,1.1621454545454544,0.798975,5,0.0,Man,55.5,a,96,NE employee,Secondary education (plus special education),Married,0 Zero,property,Yes,Pensioner,Yes,Yes,No,Yes,No
17092,0.2391428571428571,0.2391428571428571,214.11,334.89,0.4784142857142857,0.4784142857142857,2,0.0,Man,30.916666666666668,g,120,NE employee,Secondary education (plus special education),Married,2 Two,property,No,Unemployed,Yes,Yes,No,No,No
15048,0.1261727272727272,0.1261727272727272,80.4,1526.6,1.3878181818181818,1.3878181818181818,11,0.0,Man,31.416666666666668,e,60,NE employee,Higher education (one or more),Married,1 One,property,Yes,Unemployed,Yes,Yes,No,No,Yes
18400,0.2630384615384615,0.2630384615384615,18.02,341.98,1.3153076923076925,1.3153076923076925,5,0.0,Man,36.5,g,193,NE employee,Secondary education (plus special education),Cohabitation,2 Two,otherwise,No,No couple,No,Yes,Yes,Yes,Yes
54076,0.69532,0.69532,27.44,521.56,2.08624,2.08624,3,0.0,Man,46.333333333333336,b,30,NE employee,Secondary education (plus special education),Single/unmarried,0 Zero,property,No,No couple,Yes,Yes,No,Yes,Yes
35281,0.0624181818181818,0.027464,85.77,343.23,0.6240545454545455,0.274584,10,0.0,Man,32.916666666666664,f,60,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,No,Yes,No,No,Yes
16108,0.1059555555555555,0.0501894736842105,12.57,238.43,0.5298444444444445,0.2509789473684211,5,0.0,Woman,45.75,b,66,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,No,No
17498,0.1221285714285714,0.1221285714285714,22.51,427.48,0.6106857142857143,0.6106857142857143,5,0.0,Man,24.83333333333333,a,3,NE employee,Incomplete higher education,Single/unmarried,0 Zero,property,No,No couple,Yes,No,No,Yes,Yes
21476,0.1899666666666666,0.1036181818181818,17.99,342.01,0.5700166666666666,0.3109181818181818,3,0.0,Woman,40.75,b,199,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,Yes,No
